Size,EntryBar,ExitBar,EntryPrice,ExitPrice,SL,TP,PnL,Commission,ReturnPct,EntryTime,ExitTime,Duration,Tag,Entry_RSI,Exit_RSI
-0.04165596,12544,12609,105035.39999999998,106610.93099999998,106610.93099999998,101884.33799999997,-70.03842186390119,4.40816554914138,-0.016007499999999904,2025-06-06 16:00:00,2025-06-09 09:00:00,2 days 17:00:00,,85.91253742200826,55.26680298133366
0.04190569,12809,12811,103574.20000000001,105127.813,102745.6064,105127.813,60.73232382839275,4.372900929576986,0.013992499999999903,2025-06-17 17:00:00,2025-06-17 19:00:00,0 days 02:00:00,,4.23114876410969,23.170223499221407
0.03709792,14201,14223,117815.2,116872.6784,116872.6784,119582.42799999999,-39.31880698399838,4.353216068926464,-0.008996000000000007,2025-08-14 17:00:00,2025-08-15 15:00:00,0 days 22:00:00,,7.045034121469328,27.29477973995718
-0.03820987,14847,14880,113872.4,115580.48599999999,115580.48599999999,110456.228,-69.6494264814119,4.38368247259241,-0.016007499999999904,2025-09-10 15:00:00,2025-09-12 00:00:00,1 days 09:00:00,,89.18234143923317,75.875014439182
-0.03857873,15287,15302,111881.39999999998,113559.72249999999,113559.72249999999,108525.05500000001,-69.09616667833721,4.348616097912212,-0.016008407664276712,2025-09-28 23:00:00,2025-09-29 14:00:00,0 days 15:00:00,,92.59665301647654,75.29050392651202
0.03768907,15575,15575,113606.2,112697.44960000002,112697.44960000002,115310.39450000001,-38.51454448364215,4.264587045514936,-0.008995127244815682,2025-10-10 23:00:00,2025-10-10 23:00:00,0 days 00:00:00,,7.148451620677278,7.148451620677278
0.037816300000000004,15576,15576,112714.99999999999,111813.1808,111813.1808,114405.6235,-38.34887793475293,4.24541252179352,-0.00899687965576888,2025-10-11 00:00:00,2025-10-11 00:00:00,0 days 00:00:00,,5.175253821042531,5.175253821042531
0.037730520000000003,15577,15577,112463.3,111563.59360000002,111563.59360000002,114150.24949999999,-38.17271591408402,4.226325594756336,-0.008995999999999896,2025-10-11 01:00:00,2025-10-11 01:00:00,0 days 00:00:00,,4.121227045662465,4.121227045662465
0.0380355,15578,15578,111060.0,112725.89999999998,110171.51999999999,112725.89999999998,59.1074351502743,4.255904299725,0.013992499999999903,2025-10-11 02:00:00,2025-10-11 02:00:00,0 days 00:00:00,,18.910757055086975,18.910757055086975
0.03824039,15658,15658,111237.4,110347.5008,110347.5008,112905.961,-38.26683898103951,4.236746512351656,-0.008996000000000007,2025-10-14 10:00:00,2025-10-14 10:00:00,0 days 00:00:00,,1.5794086267335956,1.5794086267335956
0.0382969,15659,15663,110573.9,112232.50849999998,109689.30879999998,112232.50849999998,59.25316649080799,4.2663973728418245,0.013992499999999903,2025-10-14 11:00:00,2025-10-14 15:00:00,0 days 04:00:00,,12.69626421223603,40.13006885998474
0.04932864,16555,16558,86445.7,87742.38549999999,85754.1344,87742.38549999999,59.66750154176035,4.29623068095936,0.013992499999999903,2025-11-20 19:00:00,2025-11-20 22:00:00,0 days 03:00:00,,11.86048378465155,25.800667073126988
-0.04701433,16707,16742,91335.3,92705.431,92705.431,88595.33799999999,-68.74206680756726,4.3262758303376145,-0.016008611845584275,2025-11-27 03:00:00,2025-11-28 14:00:00,1 days 11:00:00,,85.45334310378739,61.30102377081589
0.04934845,16804,16805,86319.1,85628.6464,85628.6464,87613.98799999998,-38.315492339836474,4.24267738291654,-0.008994851350396325,2025-12-01 04:00:00,2025-12-01 05:00:00,0 days 01:00:00,,8.580742810571437,11.242072258248214
0.04920021,16807,16812,86190.0,85500.38079999998,85500.38079999998,87482.74849999999,-38.1530108552022,4.223601395169984,-0.008997150370112608,2025-12-01 07:00:00,2025-12-01 12:00:00,0 days 05:00:00,,13.599576986913092,14.721995143913631
-0.04793432,17242,17304,88068.4,89389.3245,89389.3245,85426.251,-67.57077535516754,4.253157676327421,-0.01600634691046956,2025-12-19 10:00:00,2025-12-22 00:00:00,2 days 14:00:00,,91.1396935465831,49.07374035897053
